DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
20000502,40845,MTWVQ',OTC,11.5,11.5,5214,0,Metawave Commun Corp,0,0,0
20000503,40845,MTWVQ',OTC,10.3125,10.3125,2985,0,Metawave Commun Corp,0,0,0
20000504,40845,MTWVQ',OTC,11,11,1532,0,Metawave Commun Corp,0,0,0
20000505,40845,MTWVQ',OTC,13.125,13.125,6991,0,Metawave Commun Corp,0,0,0
20000508,40845,MTWVQ',OTC,13.5,13.5,2076,0,Metawave Commun Corp,0,0,0
20000509,40845,MTWVQ',OTC,13.5,13.5,2481,0,Metawave Commun Corp,0,0,0
20000510,40845,MTWVQ',OTC,13.25,13.25,1779,0,Metawave Commun Corp,0,0,0
20000511,40845,MTWVQ',OTC,12.375,12.375,1984,0,Metawave Commun Corp,0,0,0
20000512,40845,MTWVQ',OTC,13.25,13.25,1333,0,Metawave Commun Corp,0,0,0
20000515,40845,MTWVQ',OTC,13.9375,13.9375,1041,0,Metawave Commun Corp,0,0,0
20000516,40845,MTWVQ',OTC,17.1875,17.1875,3805,0,Metawave Commun Corp,0,0,0
20000517,40845,MTWVQ',OTC,22.875,22.875,5732,0,Metawave Commun Corp,0,0,0
20000518,40845,MTWVQ',OTC,24.25,24.25,9643,0,Metawave Commun Corp,0,0,0
20000519,40845,MTWVQ',OTC,25.625,25.625,5840,0,Metawave Commun Corp,0,0,0
20000522,40845,MTWVQ',OTC,24,24,12939,0,Metawave Commun Corp,0,0,0
20000523,40845,MTWVQ',OTC,25.3125,25.3125,3523,0,Metawave Commun Corp,0,0,0
20000524,40845,MTWVQ',OTC,23.75,23.75,1979,0,Metawave Commun Corp,0,0,0
20000525,40845,MTWVQ',OTC,23.75,23.75,887,0,Metawave Commun Corp,0,0,0
20000526,40845,MTWVQ',OTC,24,24,1056,0,Metawave Commun Corp,0,0,0
20000530,40845,MTWVQ',OTC,24.25,24.25,1508,0,Metawave Commun Corp,0,0,0
20000531,40845,MTWVQ',OTC,29.875,29.875,4274,0,Metawave Commun Corp,0,0,0
20000601,40845,MTWVQ',OTC,28.25,28.25,1716,0,Metawave Commun Corp,0,0,0
20000602,40845,MTWVQ',OTC,33.3125,33.3125,2388,0,Metawave Commun Corp,0,0,0
20000605,40845,MTWVQ',OTC,34.1875,34.1875,2256,0,Metawave Commun Corp,0,0,0
20000606,40845,MTWVQ',OTC,27.9375,27.9375,2106,0,Metawave Commun Corp,0,0,0
20000607,40845,MTWVQ',OTC,31.625,31.625,1196,0,Metawave Commun Corp,0,0,0
20000608,40845,MTWVQ',OTC,28.75,28.75,816,0,Metawave Commun Corp,0,0,0
20000609,40845,MTWVQ',OTC,32.375,32.375,2547,0,Metawave Commun Corp,0,0,0
20000612,40845,MTWVQ',OTC,28.5,28.5,750,0,Metawave Commun Corp,0,0,0
20000613,40845,MTWVQ',OTC,26.6875,26.6875,2245,0,Metawave Commun Corp,0,0,0
20000614,40845,MTWVQ',OTC,28.4375,28.4375,1098,0,Metawave Commun Corp,0,0,0
20000615,40845,MTWVQ',OTC,27.375,27.375,628,0,Metawave Commun Corp,0,0,0
20000616,40845,MTWVQ',OTC,27,27,431,0,Metawave Commun Corp,0,0,0
20000619,40845,MTWVQ',OTC,26.5,26.5,1018,0,Metawave Commun Corp,0,0,0
20000620,40845,MTWVQ',OTC,30.875,30.875,1378,0,Metawave Commun Corp,0,0,0
20000621,40845,MTWVQ',OTC,29.125,29.125,788,0,Metawave Commun Corp,0,0,0
20000622,40845,MTWVQ',OTC,26.75,26.75,732,0,Metawave Commun Corp,0,0,0
20000623,40845,MTWVQ',OTC,27.75,27.75,490,0,Metawave Commun Corp,0,0,0
20000626,40845,MTWVQ',OTC,27.125,27.125,1177,0,Metawave Commun Corp,0,0,0
20000627,40845,MTWVQ',OTC,26.125,26.125,1330,0,Metawave Commun Corp,0,0,0
20000628,40845,MTWVQ',OTC,24.75,24.75,3561,0,Metawave Commun Corp,0,0,0
20000629,40845,MTWVQ',OTC,24.8125,24.8125,1083,0,Metawave Commun Corp,0,0,0
20000630,40845,MTWVQ',OTC,26.6875,26.6875,2676,0,Metawave Commun Corp,0,0,0
20000703,40845,MTWVQ',OTC,25.75,25.75,147,0,Metawave Commun Corp,0,0,0
20000705,40845,MTWVQ',OTC,23.75,23.75,1044,0,Metawave Commun Corp,0,0,0
20000706,40845,MTWVQ',OTC,26,26,591,0,Metawave Commun Corp,0,0,0
20000707,40845,MTWVQ',OTC,28,28,408,0,Metawave Commun Corp,0,0,0
20000710,40845,MTWVQ',OTC,27.75,27.75,214,0,Metawave Commun Corp,0,0,0
20000711,40845,MTWVQ',OTC,26.625,26.625,266,0,Metawave Commun Corp,0,0,0
20000712,40845,MTWVQ',OTC,30,30,736,0,Metawave Commun Corp,0,0,0
20000713,40845,MTWVQ',OTC,29,29,637,0,Metawave Commun Corp,0,0,0
20000714,40845,MTWVQ',OTC,29.5,29.5,295,0,Metawave Commun Corp,0,0,0
20000717,40845,MTWVQ',OTC,28.875,28.875,632,0,Metawave Commun Corp,0,0,0
20000718,40845,MTWVQ',OTC,29,29,889,0,Metawave Commun Corp,0,0,0
