DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
20060222,68475,CEOSE',OTC,16.025,6.41,344,0,Cecors Inc,0,0,0
20060223,68475,CEOSE',OTC,13.125,5.25,192,0,Cecors Inc,0,0,0
20060224,68475,CEOSE',OTC,17.5,7,232,0,Cecors Inc,0,0,0
20060227,68475,CEOSE',OTC,18.125,7.25,188,0,Cecors Inc,0,0,0
20060228,68475,CEOSE',OTC,18.75,7.5,163,0,Cecors Inc,0,0,0
20060301,68475,CEOSE',OTC,21.25,8.5,1353,0,Cecors Inc,0,0,0
20060302,68475,CEOSE',OTC,22.875,9.15,348,0,Cecors Inc,0,0,0
20060303,68475,CEOSE',OTC,26,10.4,514,0,Cecors Inc,0,0,0
20060306,68475,CEOSE',OTC,25.625,10.25,275,0,Cecors Inc,0,0,0
20060307,68475,CEOSE',OTC,22.5,9,406,0,Cecors Inc,0,0,0
20060308,68475,CEOSE',OTC,20.625,8.25,519,0,Cecors Inc,0,0,0
20060309,68475,CEOSE',OTC,15.375,6.15,619,0,Cecors Inc,0,0,0
20060310,68475,CEOSE',OTC,17.5,7,158,0,Cecors Inc,0,0,0
20060313,68475,CEOSE',OTC,15.75,6.3,35,0,Cecors Inc,0,0,0
20060314,68475,CEOSE',OTC,16.25,6.5,49,0,Cecors Inc,0,0,0
20060315,68475,CEOSE',OTC,15.375,6.15,47,0,Cecors Inc,0,0,0
20060316,68475,CEOSE',OTC,17,6.8,86,0,Cecors Inc,0,0,0
20060317,68475,CEOSE',OTC,17.375,6.95,59,0,Cecors Inc,0,0,0
20060320,68475,CEOSE',OTC,17.625,7.05,21,0,Cecors Inc,0,0,0
20060321,68475,CEOSE',OTC,17.125,6.85,23,0,Cecors Inc,0,0,0
20060322,68475,CEOSE',OTC,17.75,7.1,27,0,Cecors Inc,0,0,0
20060323,68475,CEOSE',OTC,17.5,7,7,0,Cecors Inc,0,0,0
20060324,68475,CEOSE',OTC,18.25,7.3,111,0,Cecors Inc,0,0,0
20060327,68475,CEOSE',OTC,17.5,7,128,0,Cecors Inc,0,0,0
20060328,68475,CEOSE',OTC,17.875,7.15,11,0,Cecors Inc,0,0,0
20060329,68475,CEOSE',OTC,18.375,7.35,66,0,Cecors Inc,0,0,0
20060330,68475,CEOSE',OTC,18.75,7.5,118,0,Cecors Inc,0,0,0
20060331,68475,CEOSE',OTC,18.75,7.5,17,0,Cecors Inc,0,0,0
20060403,68475,CEOSE',OTC,19,7.6,58,0,Cecors Inc,0,0,0
20060404,68475,CEOSE',OTC,19.75,7.9,98,0,Cecors Inc,0,0,0
20060405,68475,CEOSE',OTC,19.825,7.93,88,0,Cecors Inc,0,0,0
20060406,68475,CEOSE',OTC,19.6,7.84,70,0,Cecors Inc,0,0,0
20060407,68475,CEOSE',OTC,20.425,8.17,116,0,Cecors Inc,0,0,0
20060410,68475,CEOSE',OTC,21.875,8.75,248,0,Cecors Inc,0,0,0
20060411,68475,CEOSE',OTC,23,9.2,200,0,Cecors Inc,0,0,0
20060412,68475,CEOSE',OTC,23.125,9.25,210,0,Cecors Inc,0,0,0
20060413,68475,CEOSE',OTC,23.75,9.5,100,0,Cecors Inc,0,0,0
20060417,68475,CEOSE',OTC,21.25,8.5,102,0,Cecors Inc,0,0,0
20060418,68475,CEOSE',OTC,21.125,8.45,42,0,Cecors Inc,0,0,0
20060419,68475,CEOSE',OTC,19.375,7.75,108,0,Cecors Inc,0,0,0
20060420,68475,CEOSE',OTC,20.6,8.24,227,0,Cecors Inc,0,0,0
20060421,68475,CEOSE',OTC,20.625,8.25,60,0,Cecors Inc,0,0,0
20060424,68475,CEOSE',OTC,20,8,42,0,Cecors Inc,0,0,0
20060425,68475,CEOSE',OTC,19.625,7.85,3,0,Cecors Inc,0,0,0
20060426,68475,CEOSE',OTC,20.175,8.07,64,0,Cecors Inc,0,0,0
20060427,68475,CEOSE',OTC,21.625,8.65,108,0,Cecors Inc,0,0,0
20060428,68475,CEOSE',OTC,22.375,8.95,54,0,Cecors Inc,0,0,0
20060501,68475,CEOSE',OTC,22.375,8.95,37,0,Cecors Inc,0,0,0
20060502,68475,CEOSE',OTC,22.25,8.9,135,0,Cecors Inc,0,0,0
20060503,68475,CEOSE',OTC,21.625,8.65,60,0,Cecors Inc,0,0,0
20060504,68475,CEOSE',OTC,24,9.6,504,0,Cecors Inc,0,0,0
20060505,68475,CEOSE',OTC,23.75,9.5,152,0,Cecors Inc,0,0,0
20060508,68475,CEOSE',OTC,19,7.6,226,0,Cecors Inc,0,0,0
20060509,68475,CEOSE',OTC,21.125,8.45,188,0,Cecors Inc,0,0,0
20060510,68475,CEOSE',OTC,21.25,8.5,106,0,Cecors Inc,0,0,0
20060511,68475,CEOSE',OTC,23,9.2,191,0,Cecors Inc,0,0,0
20060512,68475,CEOSE',OTC,23.75,9.5,246,0,Cecors Inc,0,0,0
20060515,68475,CEOSE',OTC,28.5,11.4,455,0,Cecors Inc,0,0,0
20060516,68475,CEOSE',OTC,31.5,3.15,307,0,Cecors Inc,0,0,0
20060517,68475,CEOSE',OTC,32,3.2,121,0,Cecors Inc,0,0,0
20060518,68475,CEOSE',OTC,29.5,2.95,133,0,Cecors Inc,0,0,0
20060519,68475,CEOSE',OTC,29.4,2.94,28,0,Cecors Inc,0,0,0
20060522,68475,CEOSE',OTC,29.8,2.98,88,0,Cecors Inc,0,0,0
20060523,68475,CEOSE',OTC,25.1,2.51,238,0,Cecors Inc,0,0,0
20060524,68475,CEOSE',OTC,23.1,2.31,102,0,Cecors Inc,0,0,0
20060525,68475,CEOSE',OTC,24,2.4,149,0,Cecors Inc,0,0,0
20060526,68475,CEOSE',OTC,28.7,2.87,312,0,Cecors Inc,0,0,0
20060530,68475,CEOSE',OTC,29.5,2.95,211,0,Cecors Inc,0,0,0
20060531,68475,CEOSE',OTC,28.8,2.88,86,0,Cecors Inc,0,0,0
20060601,68475,CEOSE',OTC,28,2.8,53,0,Cecors Inc,0,0,0
20060602,68475,CEOSE',OTC,26.7,2.67,97,0,Cecors Inc,0,0,0
20060605,68475,CEOSE',OTC,25.5,2.55,44,0,Cecors Inc,0,0,0
20060606,68475,CEOSE',OTC,25,2.5,65,0,Cecors Inc,0,0,0
20060607,68475,CEOSE',OTC,27,2.7,35,0,Cecors Inc,0,0,0
20060608,68475,CEOSE',OTC,27,2.7,86,0,Cecors Inc,0,0,0
20060609,68475,CEOSE',OTC,27.6,2.76,27,0,Cecors Inc,0,0,0
20060612,68475,CEOSE',OTC,28.5,2.85,45,0,Cecors Inc,0,0,0
20060613,68475,CEOSE',OTC,28.5,2.85,91,0,Cecors Inc,0,0,0
20060614,68475,CEOSE',OTC,27.9,2.79,35,0,Cecors Inc,0,0,0
20060615,68475,CEOSE',OTC,29.4,2.94,96,0,Cecors Inc,0,0,0
20060616,68475,CEOSE',OTC,31,3.1,109,0,Cecors Inc,0,0,0
20060619,68475,CEOSE',OTC,32.2,3.22,172,0,Cecors Inc,0,0,0
20060620,68475,CEOSE',OTC,34.3,3.43,130,0,Cecors Inc,0,0,0
20060621,68475,CEOSE',OTC,32.5,3.25,144,0,Cecors Inc,0,0,0
20060622,68475,CEOSE',OTC,30,3,44,0,Cecors Inc,0,0,0
20060623,68475,CEOSE',OTC,30.5,3.05,29,0,Cecors Inc,0,0,0
20060626,68475,CEOSE',OTC,30,3,18,0,Cecors Inc,0,0,0
