DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
20060824,74053,CHMD',OTC,0.04,0.04,0,0,China Media Grp,0,0,0
20060825,74053,CHMD',OTC,0.03,0.03,1419,0,China Media Grp,0,0,0
20060828,74053,CHMD',OTC,0.04,0.04,930,0,China Media Grp,0,0,0
20060829,74053,CHMD',OTC,0.03,0.03,2396,0,China Media Grp,0,0,0
20060830,74053,CHMD',OTC,0.03,0.03,498,0,China Media Grp,0,0,0
20060831,74053,CHMD',OTC,0.04,0.04,811,0,China Media Grp,0,0,0
20060901,74053,CHMD',OTC,0.04,0.04,624,0,China Media Grp,0,0,0
20060905,74053,CHMD',OTC,0.05,0.05,4046,0,China Media Grp,0,0,0
20060906,74053,CHMD',OTC,0.05,0.05,996,0,China Media Grp,0,0,0
20060907,74053,CHMD',OTC,0.04,0.04,203,0,China Media Grp,0,0,0
20060908,74053,CHMD',OTC,0.05,0.05,1437,0,China Media Grp,0,0,0
20060911,74053,CHMD',OTC,0.04,0.04,1155,0,China Media Grp,0,0,0
20060912,74053,CHMD',OTC,0.04,0.04,475,0,China Media Grp,0,0,0
20060913,74053,CHMD',OTC,0.04,0.04,1621,0,China Media Grp,0,0,0
20060914,74053,CHMD',OTC,0.04,0.04,144,0,China Media Grp,0,0,0
20060915,74053,CHMD',OTC,0.05,0.05,760,0,China Media Grp,0,0,0
20060918,74053,CHMD',OTC,0.04,0.04,879,0,China Media Grp,0,0,0
20060919,74053,CHMD',OTC,0.04,0.04,308,0,China Media Grp,0,0,0
20060920,74053,CHMD',OTC,0.04,0.04,2373,0,China Media Grp,0,0,0
20060921,74053,CHMD',OTC,0.04,0.04,298,0,China Media Grp,0,0,0
20060922,74053,CHMD',OTC,0.04,0.04,271,0,China Media Grp,0,0,0
20060925,74053,CHMD',OTC,0.04,0.04,498,0,China Media Grp,0,0,0
20060926,74053,CHMD',OTC,0.04,0.04,2062,0,China Media Grp,0,0,0
20060927,74053,CHMD',OTC,0.04,0.04,301,0,China Media Grp,0,0,0
20060928,74053,CHMD',OTC,0.04,0.04,408,0,China Media Grp,0,0,0
20060929,74053,CHMD',OTC,0.04,0.04,172,0,China Media Grp,0,0,0
20061002,74053,CHMD',OTC,0.04,0.04,328,0,China Media Grp,0,0,0
