DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
20041026,66063,SLXI',OTC,1.85,1.85,690,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041027,66063,SLXI',OTC,1.8,1.8,283,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041028,66063,SLXI',OTC,1.94,1.94,419,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041029,66063,SLXI',OTC,2,2,511,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041101,66063,SLXI',OTC,2.12,2.12,535,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041102,66063,SLXI',OTC,2.05,2.05,371,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041103,66063,SLXI',OTC,2,2,432,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041104,66063,SLXI',OTC,2.05,2.05,392,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041105,66063,SLXI',OTC,2.05,2.05,191,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041108,66063,SLXI',OTC,2.04,2.04,120,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041109,66063,SLXI',OTC,2.05,2.05,970,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041110,66063,SLXI',OTC,2.03,2.03,432,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041111,66063,SLXI',OTC,2,2,315,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041112,66063,SLXI',OTC,2.02,2.02,184,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041115,66063,SLXI',OTC,2,2,44,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041116,66063,SLXI',OTC,1.87,1.87,181,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041117,66063,SLXI',OTC,1.95,1.95,16,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041118,66063,SLXI',OTC,2,2,470,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041119,66063,SLXI',OTC,1.8,1.8,98,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041122,66063,SLXI',OTC,1.85,1.85,458,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041123,66063,SLXI',OTC,1.7,1.7,130,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041124,66063,SLXI',OTC,1.5,1.5,74,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041126,66063,SLXI',OTC,1.5,1.5,10,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041129,66063,SLXI',OTC,1.45,1.45,245,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041130,66063,SLXI',OTC,1.47,1.47,138,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041201,66063,SLXI',OTC,1.45,1.45,10,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041202,66063,SLXI',OTC,1.01,1.01,295,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041203,66063,SLXI',OTC,1.01,1.01,128,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041206,66063,SLXI',OTC,1.05,1.05,453,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041207,66063,SLXI',OTC,0.95,0.95,145,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041208,66063,SLXI',OTC,0.82,0.82,165,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041209,66063,SLXI',OTC,0.93,0.93,137,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041210,66063,SLXI',OTC,0.8,0.8,8,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041213,66063,SLXI',OTC,0.8,0.8,423,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
20041214,66063,SLXI',OTC,0.81,0.81,255,0,Satelinx Intl Inc Stk Us Nasd,0,0,0
