DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
20060710,68944,XYNG',OTC,8,0.2,0,0,Xynergy Corp,0,0,0
20060711,68944,XYNG',OTC,8,0.2,0,0,Xynergy Corp,0,0,0
20060712,68944,XYNG',OTC,8,0.2,0,0,Xynergy Corp,0,0,0
20060713,68944,XYNG',OTC,2,0.05,1,0,Xynergy Corp,0,0,0
20060714,68944,XYNG',OTC,2,0.05,1,0,Xynergy Corp,0,0,0
20060717,68944,XYNG',OTC,4,0.1,0,0,Xynergy Corp,0,0,0
20060718,68944,XYNG',OTC,4,0.1,0,0,Xynergy Corp,0,0,0
20060719,68944,XYNG',OTC,4,0.1,1,0,Xynergy Corp,0,0,0
20060720,68944,XYNG',OTC,4,0.1,0,0,Xynergy Corp,0,0,0
20060721,68944,XYNG',OTC,4,0.1,0,0,Xynergy Corp,0,0,0
20060724,68944,XYNG',OTC,4,0.1,1,0,Xynergy Corp,0,0,0
20060725,68944,XYNG',OTC,5.6,0.14,0,0,Xynergy Corp,0,0,0
20060726,68944,XYNG',OTC,4.8,0.12,3,0,Xynergy Corp,0,0,0
20060727,68944,XYNG',OTC,4.8,0.12,0,0,Xynergy Corp,0,0,0
20060728,68944,XYNG',OTC,4.8,0.12,0,0,Xynergy Corp,0,0,0
20060731,68944,XYNG',OTC,2,0.05,2,0,Xynergy Corp,0,0,0
20060801,68944,XYNG',OTC,4,0.1,0,0,Xynergy Corp,0,0,0
20060802,68944,XYNG',OTC,4,0.1,0,0,Xynergy Corp,0,0,0
20060803,68944,XYNG',OTC,4,0.1,0,0,Xynergy Corp,0,0,0
20060804,68944,XYNG',OTC,4,0.1,0,0,Xynergy Corp,0,0,0
20060807,68944,XYNG',OTC,2,0.05,0,0,Xynergy Corp,0,0,0
20060808,68944,XYNG',OTC,2,0.05,0,0,Xynergy Corp,0,0,0
20060809,68944,XYNG',OTC,2,0.05,0,0,Xynergy Corp,0,0,0
20060810,68944,XYNG',OTC,2,0.05,0,0,Xynergy Corp,0,0,0
20060811,68944,XYNG',OTC,4,0.1,0,0,Xynergy Corp,0,0,0
20060814,68944,XYNG',OTC,2,0.05,3,0,Xynergy Corp,0,0,0
20060815,68944,XYNG',OTC,2,0.05,0,0,Xynergy Corp,0,0,0
20060816,68944,XYNG',OTC,2,0.05,0,0,Xynergy Corp,0,0,0
20060817,68944,XYNG',OTC,2,0.05,0,0,Xynergy Corp,0,0,0
20060818,68944,XYNG',OTC,2,0.05,0,0,Xynergy Corp,0,0,0
