DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
20070501,79357,MDWK',OTC,0.4,0.4,64,0,Mdwerks Inc,0,0,0
20070502,79357,MDWK',OTC,0.4,0.4,0,0,Mdwerks Inc,0,0,0
20070503,79357,MDWK',OTC,0.45,0.45,40,0,Mdwerks Inc,0,0,0
20070504,79357,MDWK',OTC,0.45,0.45,480,0,Mdwerks Inc,0,0,0
20070507,79357,MDWK',OTC,0.35,0.35,2099,0,Mdwerks Inc,0,0,0
20070508,79357,MDWK',OTC,0.55,0.55,600,0,Mdwerks Inc,0,0,0
20070509,79357,MDWK',OTC,0.55,0.55,10,0,Mdwerks Inc,0,0,0
20070510,79357,MDWK',OTC,0.55,0.55,0,0,Mdwerks Inc,0,0,0
20070511,79357,MDWK',OTC,0.5,0.5,355,0,Mdwerks Inc,0,0,0
20070514,79357,MDWK',OTC,0.45,0.45,255,0,Mdwerks Inc,0,0,0
20070515,79357,MDWK',OTC,0.45,0.45,0,0,Mdwerks Inc,0,0,0
20070516,79357,MDWK',OTC,0.58,0.58,5,0,Mdwerks Inc,0,0,0
20070517,79357,MDWK',OTC,0.6,0.6,142,0,Mdwerks Inc,0,0,0
20070518,79357,MDWK',OTC,0.51,0.51,2,0,Mdwerks Inc,0,0,0
20070521,79357,MDWK',OTC,0.37,0.37,438,0,Mdwerks Inc,0,0,0
20070522,79357,MDWK',OTC,0.4,0.4,416,0,Mdwerks Inc,0,0,0
20070523,79357,MDWK',OTC,0.52,0.52,330,0,Mdwerks Inc,0,0,0
20070524,79357,MDWK',OTC,0.52,0.52,21,0,Mdwerks Inc,0,0,0
20070525,79357,MDWK',OTC,0.52,0.52,0,0,Mdwerks Inc,0,0,0
20070529,79357,MDWK',OTC,0.5,0.5,96,0,Mdwerks Inc,0,0,0
20070530,79357,MDWK',OTC,0.6,0.6,150,0,Mdwerks Inc,0,0,0
20070531,79357,MDWK',OTC,0.52,0.52,399,0,Mdwerks Inc,0,0,0
20070601,79357,MDWK',OTC,0.59,0.59,140,0,Mdwerks Inc,0,0,0
20070604,79357,MDWK',OTC,0.65,0.65,103,0,Mdwerks Inc,0,0,0
20070605,79357,MDWK',OTC,0.6,0.6,199,0,Mdwerks Inc,0,0,0
20070606,79357,MDWK',OTC,0.6,0.6,147,0,Mdwerks Inc,0,0,0
20070607,79357,MDWK',OTC,0.6,0.6,65,0,Mdwerks Inc,0,0,0
20070608,79357,MDWK',OTC,0.6,0.6,31,0,Mdwerks Inc,0,0,0
20070611,79357,MDWK',OTC,0.65,0.65,110,0,Mdwerks Inc,0,0,0
20070612,79357,MDWK',OTC,0.9,0.9,220,0,Mdwerks Inc,0,0,0
20070613,79357,MDWK',OTC,0.95,0.95,50,0,Mdwerks Inc,0,0,0
20070614,79357,MDWK',OTC,1,1,122,0,Mdwerks Inc,0,0,0
20070615,79357,MDWK',OTC,0.95,0.95,44,0,Mdwerks Inc,0,0,0
20070618,79357,MDWK',OTC,1.04,1.04,27,0,Mdwerks Inc,0,0,0
20070619,79357,MDWK',OTC,1.25,1.25,65,0,Mdwerks Inc,0,0,0
20070620,79357,MDWK',OTC,1.06,1.06,140,0,Mdwerks Inc,0,0,0
20070621,79357,MDWK',OTC,1,1,115,0,Mdwerks Inc,0,0,0
20070622,79357,MDWK',OTC,1,1,50,0,Mdwerks Inc,0,0,0
20070625,79357,MDWK',OTC,1,1,0,0,Mdwerks Inc,0,0,0
20070626,79357,MDWK',OTC,1.15,1.15,51,0,Mdwerks Inc,0,0,0
20070627,79357,MDWK',OTC,1.25,1.25,115,0,Mdwerks Inc,0,0,0
20070628,79357,MDWK',OTC,1.3,1.3,60,0,Mdwerks Inc,0,0,0
20070629,79357,MDWK',OTC,1.26,1.26,230,0,Mdwerks Inc,0,0,0
20070702,79357,MDWK',OTC,1.25,1.25,25,0,Mdwerks Inc,0,0,0
20070703,79357,MDWK',OTC,1.25,1.25,50,0,Mdwerks Inc,0,0,0
20070705,79357,MDWK',OTC,1.23,1.23,120,0,Mdwerks Inc,0,0,0
20070706,79357,MDWK',OTC,1.3,1.3,100,0,Mdwerks Inc,0,0,0
20070709,79357,MDWK',OTC,1.3,1.3,42,0,Mdwerks Inc,0,0,0
20070710,79357,MDWK',OTC,1.1,1.1,442,0,Mdwerks Inc,0,0,0
20070711,79357,MDWK',OTC,1.2,1.2,5,0,Mdwerks Inc,0,0,0
20070712,79357,MDWK',OTC,1.25,1.25,42,0,Mdwerks Inc,0,0,0
20070713,79357,MDWK',OTC,1.3,1.3,1,0,Mdwerks Inc,0,0,0
20070716,79357,MDWK',OTC,1.3,1.3,107,0,Mdwerks Inc,0,0,0
20070717,79357,MDWK',OTC,1.3,1.3,20,0,Mdwerks Inc,0,0,0
20070718,79357,MDWK',OTC,1.35,1.35,10,0,Mdwerks Inc,0,0,0
20070719,79357,MDWK',OTC,1.2,1.2,95,0,Mdwerks Inc,0,0,0
20070720,79357,MDWK',OTC,1.25,1.25,13,0,Mdwerks Inc,0,0,0
20070723,79357,MDWK',OTC,1.25,1.25,0,0,Mdwerks Inc,0,0,0
20070724,79357,MDWK',OTC,1.25,1.25,46,0,Mdwerks Inc,0,0,0
20070725,79357,MDWK',OTC,1.45,1.45,312,0,Mdwerks Inc,0,0,0
20070726,79357,MDWK',OTC,1.45,1.45,30,0,Mdwerks Inc,0,0,0
20070727,79357,MDWK',OTC,1.49,1.49,68,0,Mdwerks Inc,0,0,0
20070730,79357,MDWK',OTC,1.5,1.5,35,0,Mdwerks Inc,0,0,0
20070731,79357,MDWK',OTC,1.5,1.5,253,0,Mdwerks Inc,0,0,0
20070801,79357,MDWK',OTC,1.5,1.5,30,0,Mdwerks Inc,0,0,0
20070802,79357,MDWK',OTC,1.35,1.35,147,0,Mdwerks Inc,0,0,0
20070803,79357,MDWK',OTC,1.3,1.3,201,0,Mdwerks Inc,0,0,0
20070806,79357,MDWK',OTC,1.35,1.35,80,0,Mdwerks Inc,0,0,0
20070807,79357,MDWK',OTC,1.25,1.25,218,0,Mdwerks Inc,0,0,0
20070808,79357,MDWK',OTC,1.25,1.25,34,0,Mdwerks Inc,0,0,0
20070809,79357,MDWK',OTC,1.25,1.25,0,0,Mdwerks Inc,0,0,0
20070810,79357,MDWK',OTC,1.25,1.25,28,0,Mdwerks Inc,0,0,0
20070813,79357,MDWK',OTC,1.2,1.2,25,0,Mdwerks Inc,0,0,0
20070814,79357,MDWK',OTC,1.05,1.05,215,0,Mdwerks Inc,0,0,0
20070815,79357,MDWK',OTC,0.91,0.91,120,0,Mdwerks Inc,0,0,0
20070816,79357,MDWK',OTC,0.91,0.91,0,0,Mdwerks Inc,0,0,0
20070817,79357,MDWK',OTC,1,1,40,0,Mdwerks Inc,0,0,0
