DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
19840301,5163,JNJ,NYSE,1.146946679,35.875,64027,0,Johnson & Johnson,0,0,0
19840302,5163,JNJ,NYSE,1.11097971,34.75,104189,0,Johnson & Johnson,0,0,0
19840305,5163,JNJ,NYSE,1.12696503,35.25,71441,0,Johnson & Johnson,0,0,0
19840306,5163,JNJ,NYSE,1.134957689,35.5,76914,0,Johnson & Johnson,0,0,0
19840307,5163,JNJ,NYSE,1.130961359,35.375,56302,0,Johnson & Johnson,0,0,0
19840308,5163,JNJ,NYSE,1.1229687,35.125,65904,0,Johnson & Johnson,0,0,0
19840309,5163,JNJ,NYSE,1.10298705,34.5,72786,0,Johnson & Johnson,0,0,0
19840312,5163,JNJ,NYSE,1.11097971,34.75,97277,0,Johnson & Johnson,0,0,0
19840313,5163,JNJ,NYSE,1.09499439,34.25,139347,0,Johnson & Johnson,0,0,0
19840314,5163,JNJ,NYSE,1.09899072,34.375,121361,0,Johnson & Johnson,0,0,0
19840315,5163,JNJ,NYSE,1.11897237,35,117545,0,Johnson & Johnson,0,0,0
19840316,5163,JNJ,NYSE,1.11897237,35,124927,0,Johnson & Johnson,0,0,0
19840319,5163,JNJ,NYSE,1.10698338,34.625,58679,0,Johnson & Johnson,0,0,0
19840320,5163,JNJ,NYSE,1.10698338,34.625,147260,0,Johnson & Johnson,0,0,0
19840321,5163,JNJ,NYSE,1.09499439,34.25,130964,0,Johnson & Johnson,0,0,0
19840322,5163,JNJ,NYSE,1.079009071,33.75,141693,0,Johnson & Johnson,0,0,0
19840323,5163,JNJ,NYSE,1.075012741,33.625,78854,0,Johnson & Johnson,0,0,0
19840326,5163,JNJ,NYSE,1.071016411,33.5,80418,0,Johnson & Johnson,0,0,0
19840327,5163,JNJ,NYSE,1.10298705,34.5,109350,0,Johnson & Johnson,0,0,0
19840328,5163,JNJ,NYSE,1.11897237,35,191551,0,Johnson & Johnson,0,0,0
19840329,5163,JNJ,NYSE,1.11097971,34.75,99247,0,Johnson & Johnson,0,0,0
19840330,5163,JNJ,NYSE,1.11897237,35,65842,0,Johnson & Johnson,0,0,0
