DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
19871105,7171,EHP',NYSE,5.616590693,7.375,0,0,Emerald Homes Lp,0,0,0
19871106,7171,EHP',NYSE,5.616590693,7.375,0,0,Emerald Homes Lp,0,0,0
19871109,7171,EHP',NYSE,5.426197788,7.125,79,0,Emerald Homes Lp,0,0,0
19871110,7171,EHP',NYSE,5.616590693,7.375,138,0,Emerald Homes Lp,0,0,0
19871111,7171,EHP',NYSE,5.616590693,7.375,134,0,Emerald Homes Lp,0,0,0
19871112,7171,EHP',NYSE,5.616590693,7.375,137,0,Emerald Homes Lp,0,0,0
19871113,7171,EHP',NYSE,5.711787146,7.5,334,0,Emerald Homes Lp,0,0,0
19871116,7171,EHP',NYSE,5.711787146,7.5,117,0,Emerald Homes Lp,0,0,0
19871117,7171,EHP',NYSE,5.806983598,7.625,167,0,Emerald Homes Lp,0,0,0
19871118,7171,EHP',NYSE,5.902180051,7.75,156,0,Emerald Homes Lp,0,0,0
19871119,7171,EHP',NYSE,6.092572955,8,223,0,Emerald Homes Lp,0,0,0
19871120,7171,EHP',NYSE,5.997376503,7.875,104,0,Emerald Homes Lp,0,0,0
19871123,7171,EHP',NYSE,6.187769408,8.125,71,0,Emerald Homes Lp,0,0,0
19871124,7171,EHP',NYSE,6.092572955,8,41,0,Emerald Homes Lp,0,0,0
19871125,7171,EHP',NYSE,6.378162313,8.375,130,0,Emerald Homes Lp,0,0,0
19871127,7171,EHP',NYSE,5.902180051,7.75,66,0,Emerald Homes Lp,0,0,0
19871130,7171,EHP',NYSE,5.426197788,7.125,133,0,Emerald Homes Lp,0,0,0
19871201,7171,EHP',NYSE,5.711787146,7.5,77,0,Emerald Homes Lp,0,0,0
19871202,7171,EHP',NYSE,5.806983598,7.625,41,0,Emerald Homes Lp,0,0,0
19871203,7171,EHP',NYSE,5.997376503,7.875,137,0,Emerald Homes Lp,0,0,0
19871204,7171,EHP',NYSE,5.806983598,7.625,62,0,Emerald Homes Lp,0,0,0
19871207,7171,EHP',NYSE,5.997376503,7.875,18,0,Emerald Homes Lp,0,0,0
19871208,7171,EHP',NYSE,5.806983598,7.625,59,0,Emerald Homes Lp,0,0,0
19871209,7171,EHP',NYSE,5.902180051,7.75,91,0,Emerald Homes Lp,0,0,0
19871210,7171,EHP',NYSE,5.711787146,7.5,58,0,Emerald Homes Lp,0,0,0
19871211,7171,EHP',NYSE,5.426197788,7.125,39,0,Emerald Homes Lp,0,0,0
19871214,7171,EHP',NYSE,5.331001336,7,58,0,Emerald Homes Lp,0,0,0
19871215,7171,EHP',NYSE,5.521394241,7.25,89,0,Emerald Homes Lp,0,0,0
19871216,7171,EHP',NYSE,5.521394241,7.25,46,0,Emerald Homes Lp,0,0,0
19871217,7171,EHP',NYSE,5.331001336,7,53,0,Emerald Homes Lp,0,0,0
19871218,7171,EHP',NYSE,5.331001336,7,72,0,Emerald Homes Lp,0,0,0
19871221,7171,EHP',NYSE,5.331001336,7,100,0,Emerald Homes Lp,0,0,0
19871222,7171,EHP',NYSE,5.616590693,7.375,80,0,Emerald Homes Lp,0,0,0
19871223,7171,EHP',NYSE,6.378162313,8.375,529,0,Emerald Homes Lp,0,0,0
19871224,7171,EHP',NYSE,6.220189252,7.875,206,0,Emerald Homes Lp,0,0,0
19871228,7171,EHP',NYSE,5.529057113,7,173,0,Emerald Homes Lp,0,0,0
19871229,7171,EHP',NYSE,5.529057113,7,128,0,Emerald Homes Lp,0,0,0
19871230,7171,EHP',NYSE,5.331590788,6.75,170,0,Emerald Homes Lp,0,0,0
19871231,7171,EHP',NYSE,5.627790276,7.125,138,0,Emerald Homes Lp,0,0,0
19880104,7171,EHP',NYSE,5.825256601,7.375,49,0,Emerald Homes Lp,0,0,0
19880105,7171,EHP',NYSE,5.726523439,7.25,70,0,Emerald Homes Lp,0,0,0
19880106,7171,EHP',NYSE,5.825256601,7.375,163,0,Emerald Homes Lp,0,0,0
19880107,7171,EHP',NYSE,6.220189252,7.875,66,0,Emerald Homes Lp,0,0,0
19880108,7171,EHP',NYSE,5.726523439,7.25,28,0,Emerald Homes Lp,0,0,0
19880111,7171,EHP',NYSE,5.825256601,7.375,32,0,Emerald Homes Lp,0,0,0
19880112,7171,EHP',NYSE,5.825256601,7.375,9,0,Emerald Homes Lp,0,0,0
19880113,7171,EHP',NYSE,5.726523439,7.25,33,0,Emerald Homes Lp,0,0,0
19880114,7171,EHP',NYSE,5.627790276,7.125,32,0,Emerald Homes Lp,0,0,0
19880115,7171,EHP',NYSE,5.529057113,7,35,0,Emerald Homes Lp,0,0,0
19880118,7171,EHP',NYSE,5.529057113,7,9,0,Emerald Homes Lp,0,0,0
19880119,7171,EHP',NYSE,5.43032395,6.875,54,0,Emerald Homes Lp,0,0,0
19880120,7171,EHP',NYSE,5.331590788,6.75,129,0,Emerald Homes Lp,0,0,0
