DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
19840301,5203,HRS,NYSE,2.940602287,28.75,30846,0,Harris Corp (The),0,0,0
19840302,5203,HRS,NYSE,3.055669333,29.875,20678,0,Harris Corp (The),0,0,0
19840305,5203,HRS,NYSE,3.042884105,29.75,9474,0,Harris Corp (The),0,0,0
19840306,5203,HRS,NYSE,3.030098878,29.625,8261,0,Harris Corp (The),0,0,0
19840307,5203,HRS,NYSE,2.978957969,29.125,3950,0,Harris Corp (The),0,0,0
19840308,5203,HRS,NYSE,3.030098878,29.625,5397,0,Harris Corp (The),0,0,0
19840309,5203,HRS,NYSE,3.030098878,29.625,3305,0,Harris Corp (The),0,0,0
19840312,5203,HRS,NYSE,3.030098878,29.625,7753,0,Harris Corp (The),0,0,0
19840313,5203,HRS,NYSE,3.030098878,29.625,6414,0,Harris Corp (The),0,0,0
19840314,5203,HRS,NYSE,3.004528423,29.375,3353,0,Harris Corp (The),0,0,0
19840315,5203,HRS,NYSE,3.017313651,29.5,7929,0,Harris Corp (The),0,0,0
19840316,5203,HRS,NYSE,3.017313651,29.5,10452,0,Harris Corp (The),0,0,0
19840319,5203,HRS,NYSE,3.017313651,29.5,4351,0,Harris Corp (The),0,0,0
19840320,5203,HRS,NYSE,3.030098878,29.625,7538,0,Harris Corp (The),0,0,0
19840321,5203,HRS,NYSE,2.978957969,29.125,15242,0,Harris Corp (The),0,0,0
19840322,5203,HRS,NYSE,2.863890923,28,18733,0,Harris Corp (The),0,0,0
19840323,5203,HRS,NYSE,2.902246605,28.375,10002,0,Harris Corp (The),0,0,0
19840326,5203,HRS,NYSE,2.940602287,28.75,6433,0,Harris Corp (The),0,0,0
19840327,5203,HRS,NYSE,2.953387514,28.875,3099,0,Harris Corp (The),0,0,0
19840328,5203,HRS,NYSE,3.081239787,30.125,4791,0,Harris Corp (The),0,0,0
19840329,5203,HRS,NYSE,3.081239787,30.125,3921,0,Harris Corp (The),0,0,0
19840330,5203,HRS,NYSE,3.170736379,31,3080,0,Harris Corp (The),0,0,0
19840402,5203,HRS,NYSE,3.196306833,31.25,2982,0,Harris Corp (The),0,0,0
19840403,5203,HRS,NYSE,3.106810242,30.375,5231,0,Harris Corp (The),0,0,0
19840404,5203,HRS,NYSE,3.055669333,29.875,5602,0,Harris Corp (The),0,0,0
19840405,5203,HRS,NYSE,2.966172741,29,3129,0,Harris Corp (The),0,0,0
19840406,5203,HRS,NYSE,3.042884105,29.75,2826,0,Harris Corp (The),0,0,0
19840409,5203,HRS,NYSE,3.017313651,29.5,3080,0,Harris Corp (The),0,0,0
19840410,5203,HRS,NYSE,3.042884105,29.75,2170,0,Harris Corp (The),0,0,0
19840411,5203,HRS,NYSE,2.991743196,29.25,3715,0,Harris Corp (The),0,0,0
19840412,5203,HRS,NYSE,3.094025015,30.25,5045,0,Harris Corp (The),0,0,0
19840413,5203,HRS,NYSE,3.157951151,30.875,6091,0,Harris Corp (The),0,0,0
19840416,5203,HRS,NYSE,3.132380697,30.625,5739,0,Harris Corp (The),0,0,0
19840417,5203,HRS,NYSE,3.145165924,30.75,3696,0,Harris Corp (The),0,0,0
19840418,5203,HRS,NYSE,3.145165924,30.75,3872,0,Harris Corp (The),0,0,0
19840419,5203,HRS,NYSE,3.132380697,30.625,2522,0,Harris Corp (The),0,0,0
19840423,5203,HRS,NYSE,3.157951151,30.875,2757,0,Harris Corp (The),0,0,0
19840424,5203,HRS,NYSE,3.234662515,31.625,6521,0,Harris Corp (The),0,0,0
19840425,5203,HRS,NYSE,3.234662515,31.625,9963,0,Harris Corp (The),0,0,0
19840426,5203,HRS,NYSE,3.247447743,31.75,5671,0,Harris Corp (The),0,0,0
19840427,5203,HRS,NYSE,3.324159107,32.5,9572,0,Harris Corp (The),0,0,0
19840430,5203,HRS,NYSE,3.273018197,32,5113,0,Harris Corp (The),0,0,0
19840501,5203,HRS,NYSE,3.285803425,32.125,6707,0,Harris Corp (The),0,0,0
19840502,5203,HRS,NYSE,3.285803425,32.125,5123,0,Harris Corp (The),0,0,0
19840503,5203,HRS,NYSE,3.234662515,31.625,2327,0,Harris Corp (The),0,0,0
19840504,5203,HRS,NYSE,3.209092061,31.375,5348,0,Harris Corp (The),0,0,0
19840507,5203,HRS,NYSE,3.196306833,31.25,2874,0,Harris Corp (The),0,0,0
19840508,5203,HRS,NYSE,3.221877288,31.5,2131,0,Harris Corp (The),0,0,0
19840509,5203,HRS,NYSE,3.234662515,31.625,11801,0,Harris Corp (The),0,0,0
19840510,5203,HRS,NYSE,3.196306833,31.25,15878,0,Harris Corp (The),0,0,0
19840511,5203,HRS,NYSE,3.157951151,30.875,3696,0,Harris Corp (The),0,0,0
19840514,5203,HRS,NYSE,3.132380697,30.625,4439,0,Harris Corp (The),0,0,0
19840515,5203,HRS,NYSE,3.132380697,30.625,2992,0,Harris Corp (The),0,0,0
19840516,5203,HRS,NYSE,3.132380697,30.625,2630,0,Harris Corp (The),0,0,0
19840517,5203,HRS,NYSE,3.094025015,30.25,2034,0,Harris Corp (The),0,0,0
19840518,5203,HRS,NYSE,3.055669333,29.875,7206,0,Harris Corp (The),0,0,0
19840521,5203,HRS,NYSE,3.042884105,29.75,2786,0,Harris Corp (The),0,0,0
19840522,5203,HRS,NYSE,2.966172741,29,2659,0,Harris Corp (The),0,0,0
19840523,5203,HRS,NYSE,2.838320468,27.75,11116,0,Harris Corp (The),0,0,0
19840524,5203,HRS,NYSE,2.851105695,27.875,4879,0,Harris Corp (The),0,0,0
19840525,5203,HRS,NYSE,2.812750013,27.5,13218,0,Harris Corp (The),0,0,0
19840529,5203,HRS,NYSE,2.799964786,27.375,13003,0,Harris Corp (The),0,0,0
19840530,5203,HRS,NYSE,2.838320468,27.75,10266,0,Harris Corp (The),0,0,0
19840531,5203,HRS,NYSE,2.886777083,28,2764,0,Harris Corp (The),0,0,0
19840601,5203,HRS,NYSE,2.84811489,27.625,2153,0,Harris Corp (The),0,0,0
19840604,5203,HRS,NYSE,2.886777083,28,8390,0,Harris Corp (The),0,0,0
19840605,5203,HRS,NYSE,2.84811489,27.625,8341,0,Harris Corp (The),0,0,0
19840606,5203,HRS,NYSE,2.886777083,28,5538,0,Harris Corp (The),0,0,0
19840607,5203,HRS,NYSE,2.84811489,27.625,19593,0,Harris Corp (The),0,0,0
19840608,5203,HRS,NYSE,2.84811489,27.625,3307,0,Harris Corp (The),0,0,0
19840611,5203,HRS,NYSE,2.835227492,27.5,1562,0,Harris Corp (The),0,0,0
19840612,5203,HRS,NYSE,2.770790504,26.875,8652,0,Harris Corp (The),0,0,0
19840613,5203,HRS,NYSE,2.770790504,26.875,2968,0,Harris Corp (The),0,0,0
19840614,5203,HRS,NYSE,2.745015709,26.625,4724,0,Harris Corp (The),0,0,0
19840615,5203,HRS,NYSE,2.667691322,25.875,5403,0,Harris Corp (The),0,0,0
19840618,5203,HRS,NYSE,2.68057872,26,11998,0,Harris Corp (The),0,0,0
19840619,5203,HRS,NYSE,2.629029129,25.5,13162,0,Harris Corp (The),0,0,0
19840620,5203,HRS,NYSE,2.654803925,25.75,10204,0,Harris Corp (The),0,0,0
19840621,5203,HRS,NYSE,2.603254334,25.25,9573,0,Harris Corp (The),0,0,0
19840622,5203,HRS,NYSE,2.654803925,25.75,12648,0,Harris Corp (The),0,0,0
19840625,5203,HRS,NYSE,2.706353516,26.25,7886,0,Harris Corp (The),0,0,0
19840626,5203,HRS,NYSE,2.706353516,26.25,4811,0,Harris Corp (The),0,0,0
19840627,5203,HRS,NYSE,2.693466118,26.125,5480,0,Harris Corp (The),0,0,0
19840628,5203,HRS,NYSE,2.629029129,25.5,6596,0,Harris Corp (The),0,0,0
19840629,5203,HRS,NYSE,2.590366936,25.125,3472,0,Harris Corp (The),0,0,0
19840702,5203,HRS,NYSE,2.590366936,25.125,30291,0,Harris Corp (The),0,0,0
19840703,5203,HRS,NYSE,2.629029129,25.5,9214,0,Harris Corp (The),0,0,0
19840705,5203,HRS,NYSE,2.603254334,25.25,2890,0,Harris Corp (The),0,0,0
19840706,5203,HRS,NYSE,2.577479539,25,2929,0,Harris Corp (The),0,0,0
19840709,5203,HRS,NYSE,2.538817346,24.625,9728,0,Harris Corp (The),0,0,0
19840710,5203,HRS,NYSE,2.500155152,24.25,11309,0,Harris Corp (The),0,0,0
19840711,5203,HRS,NYSE,2.384168573,23.125,10495,0,Harris Corp (The),0,0,0
19840712,5203,HRS,NYSE,2.448605562,23.75,4355,0,Harris Corp (The),0,0,0
19840713,5203,HRS,NYSE,2.409943369,23.375,8167,0,Harris Corp (The),0,0,0
19840716,5203,HRS,NYSE,2.422830766,23.5,7003,0,Harris Corp (The),0,0,0
19840717,5203,HRS,NYSE,2.500155152,24.25,5082,0,Harris Corp (The),0,0,0
19840718,5203,HRS,NYSE,2.603254334,25.25,16605,0,Harris Corp (The),0,0,0
19840719,5203,HRS,NYSE,2.68057872,26,49486,0,Harris Corp (The),0,0,0
19840720,5203,HRS,NYSE,2.590366936,25.125,14578,0,Harris Corp (The),0,0,0
19840723,5203,HRS,NYSE,2.422830766,23.5,6770,0,Harris Corp (The),0,0,0
19840724,5203,HRS,NYSE,2.397055971,23.25,8875,0,Harris Corp (The),0,0,0
19840725,5203,HRS,NYSE,2.564592141,24.875,23104,0,Harris Corp (The),0,0,0
