DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
20041216,61891,KMA',NYSE,10.8,10.8,80460,0,KMG America Corp,0,0,0
20041217,61891,KMA',NYSE,10.84,10.84,6764,0,KMG America Corp,0,0,0
20041220,61891,KMA',NYSE,10.9,10.9,7544,0,KMG America Corp,0,0,0
20041221,61891,KMA',NYSE,10.8,10.8,4878,0,KMG America Corp,0,0,0
20041222,61891,KMA',NYSE,10.85,10.85,3443,0,KMG America Corp,0,0,0
20041223,61891,KMA',NYSE,10.75,10.75,1400,0,KMG America Corp,0,0,0
20041227,61891,KMA',NYSE,10.6,10.6,839,0,KMG America Corp,0,0,0
20041228,61891,KMA',NYSE,10.6,10.6,1194,0,KMG America Corp,0,0,0
20041229,61891,KMA',NYSE,10.6,10.6,399,0,KMG America Corp,0,0,0
20041230,61891,KMA',NYSE,10.41,10.41,348,0,KMG America Corp,0,0,0
20041231,61891,KMA',NYSE,11,11,1755,0,KMG America Corp,0,0,0
20050103,61891,KMA',NYSE,10.65,10.65,1241,0,KMG America Corp,0,0,0
20050104,61891,KMA',NYSE,10.45,10.45,652,0,KMG America Corp,0,0,0
20050105,61891,KMA',NYSE,10.3,10.3,1602,0,KMG America Corp,0,0,0
20050106,61891,KMA',NYSE,10.08,10.08,3986,0,KMG America Corp,0,0,0
20050107,61891,KMA',NYSE,10.29,10.29,114,0,KMG America Corp,0,0,0
20050110,61891,KMA',NYSE,10.75,10.75,402,0,KMG America Corp,0,0,0
20050111,61891,KMA',NYSE,10.5,10.5,372,0,KMG America Corp,0,0,0
20050112,61891,KMA',NYSE,10.5,10.5,396,0,KMG America Corp,0,0,0
20050113,61891,KMA',NYSE,10.55,10.55,141,0,KMG America Corp,0,0,0
20050114,61891,KMA',NYSE,10.68,10.68,3245,0,KMG America Corp,0,0,0
20050118,61891,KMA',NYSE,10.75,10.75,913,0,KMG America Corp,0,0,0
20050119,61891,KMA',NYSE,10.55,10.55,697,0,KMG America Corp,0,0,0
20050120,61891,KMA',NYSE,10.35,10.35,1117,0,KMG America Corp,0,0,0
20050121,61891,KMA',NYSE,10.53,10.53,2752,0,KMG America Corp,0,0,0
20050124,61891,KMA',NYSE,10.45,10.45,106,0,KMG America Corp,0,0,0
20050125,61891,KMA',NYSE,10.7,10.7,2110,0,KMG America Corp,0,0,0
20050126,61891,KMA',NYSE,10.55,10.55,335,0,KMG America Corp,0,0,0
20050127,61891,KMA',NYSE,10.64,10.64,1061,0,KMG America Corp,0,0,0
20050128,61891,KMA',NYSE,10.51,10.51,119,0,KMG America Corp,0,0,0
20050131,61891,KMA',NYSE,11.3,11.3,3168,0,KMG America Corp,0,0,0
20050201,61891,KMA',NYSE,10.6,10.6,567,0,KMG America Corp,0,0,0
20050202,61891,KMA',NYSE,10.68,10.68,598,0,KMG America Corp,0,0,0
20050203,61891,KMA',NYSE,10.53,10.53,224,0,KMG America Corp,0,0,0
20050204,61891,KMA',NYSE,10.72,10.72,211,0,KMG America Corp,0,0,0
20050207,61891,KMA',NYSE,10.26,10.26,2594,0,KMG America Corp,0,0,0
20050208,61891,KMA',NYSE,10.31,10.31,2006,0,KMG America Corp,0,0,0
20050209,61891,KMA',NYSE,10.6,10.6,187,0,KMG America Corp,0,0,0
20050210,61891,KMA',NYSE,10.58,10.58,335,0,KMG America Corp,0,0,0
20050211,61891,KMA',NYSE,10.32,10.32,1124,0,KMG America Corp,0,0,0
20050214,61891,KMA',NYSE,10.21,10.21,644,0,KMG America Corp,0,0,0
20050215,61891,KMA',NYSE,10.2,10.2,238,0,KMG America Corp,0,0,0
20050216,61891,KMA',NYSE,10.15,10.15,114,0,KMG America Corp,0,0,0
20050217,61891,KMA',NYSE,9.9,9.9,2575,0,KMG America Corp,0,0,0
20050218,61891,KMA',NYSE,9.95,9.95,2261,0,KMG America Corp,0,0,0
20050222,61891,KMA',NYSE,9.9,9.9,184,0,KMG America Corp,0,0,0
20050223,61891,KMA',NYSE,9.77,9.77,1133,0,KMG America Corp,0,0,0
20050224,61891,KMA',NYSE,9.7,9.7,1135,0,KMG America Corp,0,0,0
20050225,61891,KMA',NYSE,9.32,9.32,2504,0,KMG America Corp,0,0,0
