DDate,CSINumber,Symbol,Exchange,DClose,UnAdjustedClose,TotalVolume,Cash,MarketName,PTB,PSR,DPS
19840301,5122,NSC,NYSE,2.623626742,56.25,19146,0,Norfolk Southern,0,0,0
19840302,5122,NSC,NYSE,2.623626742,56.25,25792,0,Norfolk Southern,0,0,0
19840305,5122,NSC,NYSE,2.629457023,56.375,27250,0,Norfolk Southern,0,0,0
19840306,5122,NSC,NYSE,2.623626742,56.25,6496,0,Norfolk Southern,0,0,0
19840307,5122,NSC,NYSE,2.606135897,55.875,13443,0,Norfolk Southern,0,0,0
19840308,5122,NSC,NYSE,2.536172517,54.375,26628,0,Norfolk Southern,0,0,0
19840309,5122,NSC,NYSE,2.553663362,54.75,17495,0,Norfolk Southern,0,0,0
19840312,5122,NSC,NYSE,2.600305615,55.75,20882,0,Norfolk Southern,0,0,0
19840313,5122,NSC,NYSE,2.635287305,56.5,41036,0,Norfolk Southern,0,0,0
19840314,5122,NSC,NYSE,2.641117587,56.625,52506,0,Norfolk Southern,0,0,0
19840315,5122,NSC,NYSE,2.664438713,57.125,11835,0,Norfolk Southern,0,0,0
19840316,5122,NSC,NYSE,2.72274153,58.375,24334,0,Norfolk Southern,0,0,0
19840319,5122,NSC,NYSE,2.705250685,58,15737,0,Norfolk Southern,0,0,0
19840320,5122,NSC,NYSE,2.728571811,58.5,20754,0,Norfolk Southern,0,0,0
19840321,5122,NSC,NYSE,2.740232375,58.75,18610,0,Norfolk Southern,0,0,0
19840322,5122,NSC,NYSE,2.746062656,58.875,10098,0,Norfolk Southern,0,0,0
19840323,5122,NSC,NYSE,2.763553501,59.25,8790,0,Norfolk Southern,0,0,0
19840326,5122,NSC,NYSE,2.740232375,58.75,3945,0,Norfolk Southern,0,0,0
19840327,5122,NSC,NYSE,2.716911248,58.25,12392,0,Norfolk Southern,0,0,0
19840328,5122,NSC,NYSE,2.746062656,58.875,1865,0,Norfolk Southern,0,0,0
19840329,5122,NSC,NYSE,2.740232375,58.75,9648,0,Norfolk Southern,0,0,0
19840330,5122,NSC,NYSE,2.751892938,59,6818,0,Norfolk Southern,0,0,0
19840402,5122,NSC,NYSE,2.746062656,58.875,13443,0,Norfolk Southern,0,0,0
19840403,5122,NSC,NYSE,2.740232375,58.75,25020,0,Norfolk Southern,0,0,0
19840404,5122,NSC,NYSE,2.705250685,58,29651,0,Norfolk Southern,0,0,0
19840405,5122,NSC,NYSE,2.641117587,56.625,24613,0,Norfolk Southern,0,0,0
19840406,5122,NSC,NYSE,2.670268995,57.25,17152,0,Norfolk Southern,0,0,0
19840409,5122,NSC,NYSE,2.676099277,57.375,20861,0,Norfolk Southern,0,0,0
19840410,5122,NSC,NYSE,2.728571811,58.5,14065,0,Norfolk Southern,0,0,0
19840411,5122,NSC,NYSE,2.72274153,58.375,17388,0,Norfolk Southern,0,0,0
19840412,5122,NSC,NYSE,2.746062656,58.875,14944,0,Norfolk Southern,0,0,0
19840413,5122,NSC,NYSE,2.681929558,57.5,7054,0,Norfolk Southern,0,0,0
19840416,5122,NSC,NYSE,2.746062656,58.875,17559,0,Norfolk Southern,0,0,0
19840417,5122,NSC,NYSE,2.740232375,58.75,18695,0,Norfolk Southern,0,0,0
19840418,5122,NSC,NYSE,2.72274153,58.375,7847,0,Norfolk Southern,0,0,0
19840419,5122,NSC,NYSE,2.740232375,58.75,5939,0,Norfolk Southern,0,0,0
19840423,5122,NSC,NYSE,2.740232375,58.75,9669,0,Norfolk Southern,0,0,0
19840424,5122,NSC,NYSE,2.705250685,58,26585,0,Norfolk Southern,0,0,0
19840425,5122,NSC,NYSE,2.68775984,57.625,2959,0,Norfolk Southern,0,0,0
19840426,5122,NSC,NYSE,2.699420403,57.875,25685,0,Norfolk Southern,0,0,0
19840427,5122,NSC,NYSE,2.658608432,57,39514,0,Norfolk Southern,0,0,0
19840430,5122,NSC,NYSE,2.649147192,56,24373,0,Norfolk Southern,0,0,0
19840501,5122,NSC,NYSE,2.690540117,56.875,21075,0,Norfolk Southern,0,0,0
19840502,5122,NSC,NYSE,2.684626842,56.75,15516,0,Norfolk Southern,0,0,0
19840503,5122,NSC,NYSE,2.666887017,56.375,10696,0,Norfolk Southern,0,0,0
19840504,5122,NSC,NYSE,2.619580817,55.375,17524,0,Norfolk Southern,0,0,0
19840507,5122,NSC,NYSE,2.660973742,56.25,8667,0,Norfolk Southern,0,0,0
19840508,5122,NSC,NYSE,2.666887017,56.375,14670,0,Norfolk Southern,0,0,0
19840509,5122,NSC,NYSE,2.660973742,56.25,10147,0,Norfolk Southern,0,0,0
19840510,5122,NSC,NYSE,2.655060467,56.125,19067,0,Norfolk Southern,0,0,0
19840511,5122,NSC,NYSE,2.595927717,54.875,8371,0,Norfolk Southern,0,0,0
19840514,5122,NSC,NYSE,2.595927717,54.875,17883,0,Norfolk Southern,0,0,0
19840515,5122,NSC,NYSE,2.601840992,55,11204,0,Norfolk Southern,0,0,0
19840516,5122,NSC,NYSE,2.607754267,55.125,6976,0,Norfolk Southern,0,0,0
19840517,5122,NSC,NYSE,2.584101167,54.625,16911,0,Norfolk Southern,0,0,0
19840518,5122,NSC,NYSE,2.560448067,54.125,8667,0,Norfolk Southern,0,0,0
19840521,5122,NSC,NYSE,2.554534792,54,10464,0,Norfolk Southern,0,0,0
19840522,5122,NSC,NYSE,2.542708242,53.75,28960,0,Norfolk Southern,0,0,0
19840523,5122,NSC,NYSE,2.507228592,53,11457,0,Norfolk Southern,0,0,0
19840524,5122,NSC,NYSE,2.477662217,52.375,11732,0,Norfolk Southern,0,0,0
19840525,5122,NSC,NYSE,2.501315317,52.875,16615,0,Norfolk Southern,0,0,0
19840529,5122,NSC,NYSE,2.471748942,52.25,8181,0,Norfolk Southern,0,0,0
19840530,5122,NSC,NYSE,2.400789642,50.75,85824,0,Norfolk Southern,0,0,0
19840531,5122,NSC,NYSE,2.418529467,51.125,19532,0,Norfolk Southern,0,0,0
19840601,5122,NSC,NYSE,2.507228592,53,41855,0,Norfolk Southern,0,0,0
19840604,5122,NSC,NYSE,2.536794967,53.625,20505,0,Norfolk Southern,0,0,0
19840605,5122,NSC,NYSE,2.548621517,53.875,11817,0,Norfolk Southern,0,0,0
19840606,5122,NSC,NYSE,2.530881692,53.5,20716,0,Norfolk Southern,0,0,0
19840607,5122,NSC,NYSE,2.483575492,52.5,13909,0,Norfolk Southern,0,0,0
19840608,5122,NSC,NYSE,2.489488767,52.625,5517,0,Norfolk Southern,0,0,0
19840611,5122,NSC,NYSE,2.483575492,52.5,22640,0,Norfolk Southern,0,0,0
19840612,5122,NSC,NYSE,2.454009117,51.875,6786,0,Norfolk Southern,0,0,0
19840613,5122,NSC,NYSE,2.436269292,51.5,5116,0,Norfolk Southern,0,0,0
19840614,5122,NSC,NYSE,2.442182567,51.625,19617,0,Norfolk Southern,0,0,0
19840615,5122,NSC,NYSE,2.388963093,50.5,15220,0,Norfolk Southern,0,0,0
19840618,5122,NSC,NYSE,2.489488767,52.625,20272,0,Norfolk Southern,0,0,0
19840619,5122,NSC,NYSE,2.519055142,53.25,10739,0,Norfolk Southern,0,0,0
19840620,5122,NSC,NYSE,2.489488767,52.625,51410,0,Norfolk Southern,0,0,0
19840621,5122,NSC,NYSE,2.471748942,52.25,19575,0,Norfolk Southern,0,0,0
19840622,5122,NSC,NYSE,2.483575492,52.5,6342,0,Norfolk Southern,0,0,0
19840625,5122,NSC,NYSE,2.483575492,52.5,6405,0,Norfolk Southern,0,0,0
19840626,5122,NSC,NYSE,2.465835667,52.125,5877,0,Norfolk Southern,0,0,0
19840627,5122,NSC,NYSE,2.424442742,51.25,9597,0,Norfolk Southern,0,0,0
19840628,5122,NSC,NYSE,2.412616192,51,8921,0,Norfolk Southern,0,0,0
19840629,5122,NSC,NYSE,2.412616192,51,13613,0,Norfolk Southern,0,0,0
19840702,5122,NSC,NYSE,2.448095842,51.75,10189,0,Norfolk Southern,0,0,0
19840703,5122,NSC,NYSE,2.507228592,53,13381,0,Norfolk Southern,0,0,0
19840705,5122,NSC,NYSE,2.459922392,52,15283,0,Norfolk Southern,0,0,0
19840706,5122,NSC,NYSE,2.442182567,51.625,17461,0,Norfolk Southern,0,0,0
19840709,5122,NSC,NYSE,2.442182567,51.625,39107,0,Norfolk Southern,0,0,0
19840710,5122,NSC,NYSE,2.400789642,50.75,26973,0,Norfolk Southern,0,0,0
19840711,5122,NSC,NYSE,2.400789642,50.75,7885,0,Norfolk Southern,0,0,0
19840712,5122,NSC,NYSE,2.388963093,50.5,47457,0,Norfolk Southern,0,0,0
19840713,5122,NSC,NYSE,2.388963093,50.5,16002,0,Norfolk Southern,0,0,0
19840716,5122,NSC,NYSE,2.394876367,50.625,28242,0,Norfolk Southern,0,0,0
19840717,5122,NSC,NYSE,2.400789642,50.75,16235,0,Norfolk Southern,0,0,0
19840718,5122,NSC,NYSE,2.394876367,50.625,5496,0,Norfolk Southern,0,0,0
19840719,5122,NSC,NYSE,2.365309993,50,4185,0,Norfolk Southern,0,0,0
19840720,5122,NSC,NYSE,2.353483443,49.75,26297,0,Norfolk Southern,0,0,0
19840723,5122,NSC,NYSE,2.329830343,49.25,18497,0,Norfolk Southern,0,0,0
19840724,5122,NSC,NYSE,2.335743618,49.375,26402,0,Norfolk Southern,0,0,0
19840725,5122,NSC,NYSE,2.318003793,49,28981,0,Norfolk Southern,0,0,0
19840726,5122,NSC,NYSE,2.341656893,49.5,36718,0,Norfolk Southern,0,0,0
19840727,5122,NSC,NYSE,2.347570168,49.625,51093,0,Norfolk Southern,0,0,0
19840730,5122,NSC,NYSE,2.355984398,49,5511,0,Norfolk Southern,0,0,0
19840731,5122,NSC,NYSE,2.355984398,49,20112,0,Norfolk Southern,0,0,0
19840801,5122,NSC,NYSE,2.428106369,50.5,12292,0,Norfolk Southern,0,0,0
19840802,5122,NSC,NYSE,2.632451954,54.75,37208,0,Norfolk Southern,0,0,0
19840803,5122,NSC,NYSE,2.620431626,54.5,34941,0,Norfolk Southern,0,0,0
19840806,5122,NSC,NYSE,2.692553597,56,32757,0,Norfolk Southern,0,0,0
19840807,5122,NSC,NYSE,2.674523104,55.625,22150,0,Norfolk Southern,0,0,0
19840808,5122,NSC,NYSE,2.656492612,55.25,14517,0,Norfolk Southern,0,0,0
19840809,5122,NSC,NYSE,2.758665404,57.375,21630,0,Norfolk Southern,0,0,0
19840810,5122,NSC,NYSE,2.740634912,57,15079,0,Norfolk Southern,0,0,0
19840813,5122,NSC,NYSE,2.728614583,56.75,4721,0,Norfolk Southern,0,0,0
19840814,5122,NSC,NYSE,2.740634912,57,11917,0,Norfolk Southern,0,0,0
19840815,5122,NSC,NYSE,2.692553597,56,9380,0,Norfolk Southern,0,0,0
19840816,5122,NSC,NYSE,2.698563762,56.125,7778,0,Norfolk Southern,0,0,0
19840817,5122,NSC,NYSE,2.722604419,56.625,8070,0,Norfolk Southern,0,0,0
19840820,5122,NSC,NYSE,2.734624747,56.875,12604,0,Norfolk Southern,0,0,0
19840821,5122,NSC,NYSE,2.800736554,58.25,25561,0,Norfolk Southern,0,0,0
19840822,5122,NSC,NYSE,2.806746719,58.375,17013,0,Norfolk Southern,0,0,0
19840823,5122,NSC,NYSE,2.776695897,57.75,11065,0,Norfolk Southern,0,0,0
19840824,5122,NSC,NYSE,2.758665404,57.375,10212,0,Norfolk Southern,0,0,0
19840827,5122,NSC,NYSE,2.722604419,56.625,6011,0,Norfolk Southern,0,0,0
